slug,country,region,score (/100),visa,minAge,inc,procTime,pr,citPath,taxResDays,tax,cgt,inherit,propTax,prop,deposit,heirship,setupCost,costUsd (USD/mo),health (/10),safety (/10),fly (hours),insReq,renew,deps
panama,Panama,Central America,87,Pensionado,18 — pension-based,"$1,000/mo pension",3–6 months,Immediate,5 yrs (3 if married to Panamanian),183 days,0%,0% on foreign assets,No inheritance tax,0–0.7% · first $120k exempt,Yes — freehold,None,None — free testation,~$3–6k legal + fees,2100,7.8,7,30,No — health cert only,Permanent — visit 1×/2 yrs,Yes — +$250/mo pension each
malaysia,Malaysia,Southeast Asia,82,MM2H (Silver),25+ (Silver tier),US$150k FD + RM600k home,1–3 mo (≤6 end-to-end),No PR route,10–12 yrs; rarely granted,182 days,0%,0% foreign gains (individuals),No inheritance tax,Low — ~US$200–700/yr,Yes — RM600k buy mandatory,US$150k FD — 50% out yr 2,None (non-Muslims),~US$11–14k (agent + gov),1900,8.7,7.5,8,Yes — private medical,5-yr pass — easy,"Spouse, kids <34, parents"
thailand,Thailand,Southeast Asia,84,LTR / Retirement O-A,50+ (LTR-WP & O-A),$80k/yr or 800k THB,LTR ~1–2 mo; O-A 2–4 wks,Difficult,5 yrs PR then naturalise — very rare,180 days,0%,Taxed if remitted; LTR-WP exempt,5–10% above 100M THB,Low — ~0.02–0.3% building tax,Condo only (no land),O-A 800k THB; LTR none,None with a will,O-A ~US$1–2k; LTR 50k THB fee,1800,8.2,6.8,9,O-A: 3M THB; LTR: $50k policy,O-A yearly + 90-day reports; LTR 5+5,LTR: spouse + kids <20
cyprus,Cyprus,Mediterranean,78,Category F / Non-dom,None — income-based,~€9.6k/yr + €4.6k/dep,Backlog ~5–7 yrs (2026),On grant — long queue,7 of last 10 yrs,183 days (or 60-day rule),0–5%,0% foreign; 20% CY property only,No inheritance tax,Abolished 2017; minor local fees,Yes,Income proof + €15–20k in bank,Forced heirship; opt out via EU650 will,~€3–7k (€500 gov + legal),2200,8,8.3,22,Yes,None — permanent card,"Spouse + minors, +€4.6k/yr each"
portugal,Portugal,Western Europe,74,D7 (Passive Income),None (18+),"€920/mo (~$1,000)",~60d visa; 6–9 mo to card,5 yrs,10 yrs (2026 reform — was 5),183 days or habitual home,13–48%,28% shares — worldwide gains,No inheritance tax (10% stamp exempt for kin),IMI 0.3–0.45% + AIMI >€600k,Yes,~€11k (12-mo income) in PT bank,Forced heirship; will can elect AU law,~€2–5k legal + fees,2600,9,8.5,24,Yes,2 yrs then 3 — AIMA backlogs,Yes — +50% spouse income
malta,Malta,Mediterranean,80,Malta Retirement Prog.,55 (MRP),Pension ≥75% of income,~3–4 months,5 yrs,~7 yrs — discretionary,183 days or ordinary residence,15%,0% foreign gains even if remitted,No inheritance tax (5% stamp),None annual; 5% duty on purchase,Yes (AIP permit in areas),Buy €275k / rent €9.6k+,Forced heirship; elect AU law (EU650),~€6–10k (€2.5k fee + legal),2600,8.8,8.4,24,Yes,Annual compliance — routine,"Spouse + deps, +€500 tax each"
costa-rica,Costa Rica,Central America,77,Pensionado,18 — pension-based,"$1,000/mo pension",8–14 months (backlog),3 yrs,7 yrs residence,183 days (foreign income exempt),0%,0% on foreign assets,No inheritance tax,0.25%/yr + luxury home tax,Yes — freehold,~$300+/person refundable,Mostly free; support duties,~$1.5–3k legal + fees,2000,7.8,6.8,34,Yes — CCSS enrolment,2-yr renewals until PR,Yes — spouse & kids included
greece,Greece,Mediterranean,81,FIP Visa,None (18+),"€3,500/mo or €126k",~10d visa; permit 2–4 mo,5 yrs,7 yrs + Greek language exam,183 days or vital interests,7%,7% under regime; else 15%,1–10% (low for close kin),ENFIA — few hundred €/yr,Yes,"€3,500/mo income or €126k deposit",Forced heirship; will can elect AU law,~€2–4k (€1k permit + legal),2200,7.9,7.8,25,Yes,3-yr permit; needs 183 d/yr stay,Yes — +20% spouse income
mexico,Mexico,North America,76,Temporary Resident,None — income is the gate,"~$4,400/mo or ~$74k",~1–3 mo (consulate + INM canje),4 yrs,5 yrs + Spanish/history exam — feasible,183 days or centre of vital interests,1.92–35%,"Foreign gains as ordinary income, to 35%",No federal inheritance tax,Predial ~0.1–0.3% — $300–800/yr,Coast/border via trust,None — income/savings proof (12 mo held),None — free testation; inheritances exempt,"~$600–1,500 incl. facilitator",1700,7.5,6,18,No — not required for visa,Yr-1 card then 3-yr; PR = no renewals,Spouse via family unity; couple fee discount
mauritius,Mauritius,Indian Ocean,76,Retired Non-Citizen,50,"$2,000/mo transfer",~4–8 wks via EDB,5 yrs + $200k,5–7 yrs — rarely granted in practice,183 days (or 270 over 3 yrs),0–20%,None — no capital gains tax,No inheritance tax,None annual,Approved schemes (min $375k),No lump sum — transfer $2k/mo to local bank,FORCED heirship (French code) on MU assets,~$2–3.5k incl. agent,2000,7,7.4,12,No — medical certificate only,10-yr permit; annual proof of $24k transfers,Spouse + dependent children included
philippines,Philippines,Southeast Asia,83,SRRV Classic,40 (since 2025; 50+ pays less),"$15k dep. (50+, pension)",~30–45 working days (PRA),Permanent,10 yrs; must renounce AU — impractical,Irrelevant — source-based system,0%,0% on foreign assets,Estate tax 6%,RPT ≈0.2–0.5% of market value,Condo only (no land),"$15k (50+, pension ≥$800/mo) or $30k without",AU law governs your succession; estate tax 6%,~$2.5–4k + deposit,1500,6.8,6,8,Yes — health policy required for SRRV,None — annual $360 PRA fee; 2-yr ID cycle,Spouse + 2 deps in annual fee; $300 each
italy,Italy,Western Europe,80,Elective Residence,None — passive income is the gate,~€31k/yr passive,2–4 mo — discretionary consulate,5 yrs,10 yrs + B1 Italian — slow but real,183 days or registered residence,7%,26% standard; 7% under flat regime,4–8% + forced heirship,IMU ~0.46–1.06% (primary non-luxury home exempt),Yes,None — income/savings proof only,Forced heirship — but AU law electable by will (Brussels IV),~$2.5–6k incl. lawyer,2400,8.6,7.9,24,Yes — private cover ≥€30k/yr for visa,Annual permesso early yrs — questura queues,Spouse OK — couple bar ~€38k/yr
spain,Spain,Western Europe,75,Non-Lucrative,None,"€2,400/mo (IPREM ×4)",1–3 mo at consulate,5 yrs,10 yrs + tests; must renounce AU citizenship,183 days (or spouse/economic centre),19–47%,19–30% on foreign gains (30% above €300k),Regional + forced heirship,IBI ~0.4–1.1% of low cadastral value,Yes,"None — €28,800 in bank acceptable",Forced heirship — but AU law electable by will (Brussels IV),~$1.5–4k incl. lawyer,2500,9,8.2,24,"Yes — full private policy, no copays",1+2+2 yrs; renewal proves >183 days → tax resident,"Yes — +€7,200/yr per dependent"
uruguay,Uruguay,South America,84,Rentista / Pensionado,None,"~$1,500/mo",Legal stay from filing; grant ~4–12 mo,Direct — <1 yr,"3 yrs (family) / 5 yrs — very feasible, dual OK",183 days or vital interests,0%,0% under holiday; 12% after (2026 law),No IHT (3–4% ITP on real estate),~0.25–1.2% of low cadastral value + school tax,Yes — freehold,None — certified income via escribano,Forced heirship on UY-sited assets (no opt-out),~$2–4.5k incl. escribano,2300,8,7.6,38,No — join mutualista/ASSE after arrival,None — PR has no renewal; keep cédula current,Yes — income expectation scales with family
dubai,UAE (Dubai),Middle East,70,Retirement Visa (55+),55 (+ 15 yrs work history),AED 1M FD or 15k/mo,~2–4 wks (Dubai GDRFA),Golden Visa,None realistically — 30 yrs + invitation,183 days (or 90 + ties) for tax certificate,0%,0% — no capital gains tax,None (register a DIFC will!),None annual; 4% transfer fee; 5% housing fee on rent,Freehold zones only,AED 1M in 3-yr fixed deposit (one route),Sharia default — register DIFC will (~AED 10k),~$2.5–4k incl. fees + insurance,3500,8.5,8.8,14,Yes — mandatory for issue & renewal,5-yr; lapses if >6 mo abroad (Golden exempt),Spouse + children sponsorable
bali,Indonesia (Bali),Southeast Asia,76,E33F Retirement KITAS,60 for E33F (2026; was 55 — verify),$3k/mo pension (60+),E33F e-visa ~2–6 wks offshore,KITAP 3–4 yrs,"5+ yrs, Bahasa, renounce — rarely pursued",>183 days/12 mo (or intent to reside),5–35%,As ordinary income to 35% — enforcement patchy,No inheritance tax,PBB ~0.1–0.3% — low,No freehold (leasehold),E33F none; Second Home IDR 2B (~$130k),Civil-code reserved shares — make a local notarial will,E33F ~$0.8–1.5k/yr all-in with agent,1700,6.5,6.5,6,Yes — min IDR 25M/yr cover,Annual up to 5 yrs + address reporting,"Spouse via E31 dependent KITAS, extra cost"
vietnam,Vietnam,Southeast Asia,60,No dedicated retiree visa,— no retiree visa exists (Jul 2026),90-day e-visa cycles,90-day e-visa: 3–5 working days,Near-unattainable,5 yrs on paper; renounce (2025 exceptions) — rare,183 days — or leasing a home ≥183 days deems resident,0%,0.1% of proceeds (securities) / 20% other gains,PIT 10% on some transfers,None annual — tiny land-use levy,Apartment 50-yr (no land),None; investor TRC needs ≥VND 3B (~$115k) real business,Will OK but spouse/minors/parents keep 2/3 statutory floor,E-visa ~$300–600/yr + border runs,1400,6.3,7.5,8,No — none for e-visa,Perpetual 90-day cycles + border runs — the burden IS the system,No scheme — each adult needs own visa
